00:03.079  blend            | Read blend: "/Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_realism_20260911/mac_output/iteration_04/bilateral_hands_realistic.blend"
06:40:17 | INFO: Data are loaded, start creating Blender stuff
06:40:17 | INFO: Blender create Mesh node FittedLeather.001
06:40:17 | INFO: Blender create Mesh node ContinuousAnatomicalHandMesh.002
06:40:17 | INFO: Blender create Mesh node Nail_indexMesh
06:40:17 | INFO: Blender create Mesh node Nail_littleMesh
06:40:17 | INFO: Blender create Mesh node Nail_middleMesh
06:40:17 | INFO: Blender create Mesh node Nail_ringMesh
06:40:17 | INFO: Blender create Mesh node Nail_thumbMesh
06:40:17 | INFO: Blender create Mesh node TailoredClothSleeve.001
06:40:17 | INFO: Blender create Mesh node WristTransitionMesh_v1
06:40:17 | INFO: glTF import finished in 0.11s
06:40:18 | INFO: Data are loaded, start creating Blender stuff
06:40:18 | INFO: Blender create Mesh node FittedLeather.003
06:40:18 | INFO: Blender create Mesh node ContinuousAnatomicalHandMesh.003
06:40:18 | INFO: Blender create Mesh node Nail_indexMesh.001
06:40:18 | INFO: Blender create Mesh node Nail_littleMesh.001
06:40:18 | INFO: Blender create Mesh node Nail_middleMesh.001
06:40:18 | INFO: Blender create Mesh node Nail_ringMesh.001
06:40:18 | INFO: Blender create Mesh node Nail_thumbMesh.001
06:40:18 | INFO: Blender create Mesh node TailoredClothSleeve.003
06:40:18 | INFO: Blender create Mesh node WristTransitionMesh_v1.001
06:40:18 | INFO: glTF import finished in 0.11s
00:04.111  blend            | Read blend: "/Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_reference_20260911/mac_output/geometry_06/bilateral_hands_reference_geometry.blend"
00:04.434  blend            | Read blend: "/Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_reference_20260911/mac_output/final_04/bilateral_hands_reference.blend"
06:40:22 | INFO: Data are loaded, start creating Blender stuff
06:40:22 | INFO: Blender create Mesh node FittedLeather.001
06:40:22 | INFO: Blender create Mesh node ContinuousAnatomicalHandMesh.002_BareReference
06:40:22 | INFO: Blender create Mesh node Reference_Nail_index.002
06:40:22 | INFO: Blender create Mesh node Reference_Nail_little.002
06:40:22 | INFO: Blender create Mesh node Reference_Nail_middle.002
06:40:22 | INFO: Blender create Mesh node Reference_Nail_ring.002
06:40:22 | INFO: Blender create Mesh node Reference_Nail_thumb.002
06:40:22 | INFO: Blender create Mesh node TailoredClothSleeve.001
06:40:22 | INFO: Blender create Mesh node Reference_Bare_Wrist_Transition
06:40:22 | INFO: glTF import finished in 0.14s
06:40:25 | INFO: Data are loaded, start creating Blender stuff
06:40:25 | INFO: Blender create Mesh node FittedLeather.003
06:40:25 | INFO: Blender create Mesh node ContinuousAnatomicalHandMesh.003_BareReference
06:40:25 | INFO: Blender create Mesh node Reference_Nail_index.003
06:40:25 | INFO: Blender create Mesh node Reference_Nail_little.003
06:40:25 | INFO: Blender create Mesh node Reference_Nail_middle.003
06:40:25 | INFO: Blender create Mesh node Reference_Nail_ring.003
06:40:25 | INFO: Blender create Mesh node Reference_Nail_thumb.003
06:40:25 | INFO: Blender create Mesh node TailoredClothSleeve.003
06:40:25 | INFO: Blender create Mesh node Reference_Bare_Wrist_Transition.001
06:40:25 | INFO: glTF import finished in 0.11s
00:14.391  blend            | Read blend: "/Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_reference_20260911/mac_output/geometry_05/bilateral_hands_reference_geometry.blend"
/Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_reference_20260911/tools/verify_reference_hands.py:448: DeprecationWarning: 'World.use_nodes' is expected to be removed in Blender 6.0
  worlds[world.name] = {"color": list(world.color), "use_nodes": world.use_nodes,
00:18.542  blend            | Read blend: "/Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_reference_20260911/mac_output/geometry_06/bilateral_hands_reference_geometry.blend"
00:23.614  blend            | Read blend: "/Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_reference_20260911/mac_output/final_03/bilateral_hands_reference.blend"
00:25.697  blend            | Read blend: "/Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_reference_20260911/mac_output/final_04/bilateral_hands_reference.blend"
REFERENCE_HANDS_VERIFICATION passed [] /Users/duq711gmail.com/Documents/ChatGPT/무시무시한 rpg/asset-staging/player_hands_reference_20260911/mac_output/final_04/verification_report.json
Blender 5.2.1 LTS (hash 9e2066aef7ef built 2026-08-25 01:35:57)

Blender quit
